state,white_pct,black_pct,native_pct,asian_pct,pacific_pct,two_plus_pct
Alabama,0.6401166489165032,0.25245889688405626,0.004959963735766667,0.01543110600289005,0.0011189098084242604,0.0609857225092042
Alaska,0.5870836727993483,0.025060360772996206,0.1405463612620975,0.059552810103049046,0.01708882052279793,0.1496906637050368
Arizona,0.5731275282285888,0.04759294702035666,0.040175359095503474,0.03992622900660267,0.0017961369405717251,0.20401815576736815
Arkansas,0.6818985129295411,0.14175997958783224,0.005490303248915118,0.017868417933954463,0.0038065584450487217,0.11789516357256973
California,0.38075840989419996,0.05352912484695203,0.01422353628388723,0.16102892773178482,0.0039515853194963604,0.19799829896394644
Colorado,0.693598852134807,0.042512338241549215,0.011734296333324045,0.03483444548999966,0.0016617725506731522,0.15242818540815986
Connecticut,0.6369798771125114,0.10757838832413759,0.0040954333102317265,0.04803556069287407,0.00032244292556139764,0.12300939111619401
Delaware,0.5816580585730623,0.2203928636955197,0.00399461174218118,0.048310845817683336,0.0009582505083575985,0.09077997598669857
District of Columbia,0.3756454254182983,0.41315201139195445,0.006339622641509434,0.04954930580277679,0.00017942328230687078,0.0982185831256675
Florida,0.5418233145638957,0.14769182125014682,0.004288639309539126,0.03091799386579321,0.0008616213739262625,0.20550790757315898
Georgia,0.4983131020658664,0.30604698486111737,0.0050105188519184276,0.04896422266659201,0.0007967173955390623,0.08732185433022344
Hawaii,0.21945156298188426,0.01762408498173767,0.003485816784750641,0.36260861628079044,0.09535275138194899,0.2837936141993962
Idaho,0.8089361661734825,0.007767212441528583,0.011259385527415558,0.015073797760712703,0.001546248311991443,0.10656173827286812
Illinois,0.6018962942868216,0.13215421869657323,0.008295254866225895,0.06393343025318804,0.00035034969667568255,0.10675744550146427
Indiana,0.7601260781814703,0.09119640684403782,0.00517353802383643,0.027088612165172526,0.000719497709146445,0.08026515411360756
Iowa,0.8317260468031965,0.04151426752158268,0.003698301520783048,0.025885951143425488,0.0018864792959282896,0.07046085007872928
Kansas,0.7504987197898342,0.05342680920997264,0.008122585088699074,0.030271264516398336,0.0014091400879147219,0.11679401441995337
Kentucky,0.8142731234520654,0.07112130402678772,0.002710765386938984,0.018778119995501674,0.0003643993991768758,0.07512904359106018
Louisiana,0.5642137223940458,0.30411267274791526,0.0065649645260497545,0.018233088430402764,0.00043608381509176246,0.08108592482393524
Maine,0.896816539645213,0.020814768841831956,0.0043793220271428285,0.013376398208698573,0.00021280957030971978,0.05707922779307223
Maryland,0.46899358476949554,0.29140314406966383,0.004707642394806505,0.06935809376007868,0.0005730279313196727,0.09151299171991403
Massachusetts,0.6671825829285761,0.06859280698290442,0.0024287534589627967,0.07729341127055392,0.00017726593154788472,0.12139745530201
Michigan,0.7304385334036655,0.1301673819695933,0.005282798342757463,0.03746930982118265,0.0004556006784308284,0.07659544799697923
Minnesota,0.7593423682552034,0.0756968012744705,0.009640867293119065,0.052504069029100056,0.0006176258827018319,0.07334954673199438
Mississippi,0.5556367639638538,0.3588021929668082,0.0050291449841915435,0.012314116841570551,0.00017159098824516786,0.047975820960943515
Missouri,0.7758806148332246,0.10469611074658,0.003420721528225436,0.022680133075738462,0.0014522535227955767,0.07298174387627761
Montana,0.8462716083687336,0.0030908353872953036,0.05412259405064749,0.00827007306330365,0.0010974004447637379,0.07699213793479437
Nebraska,0.7663061851958597,0.047924522280607104,0.012709265577177574,0.027614529490901367,0.0008292337042861859,0.09874163910033877
Nevada,0.48017960089573974,0.09514893340927391,0.014009934912885118,0.09451204862971838,0.008270932805136211,0.1733973135765411
New Hampshire,0.8755926054198911,0.015097598918974161,0.0019885992653112207,0.02686028422349528,0.00023917128922551086,0.064161779150509
New Jersey,0.5233622756529915,0.12901139066384684,0.007118730732647001,0.10665023585781948,0.0003542840530811398,0.12066024401393097
New Mexico,0.46351377487025036,0.02349482879053034,0.09660482120458762,0.020018251327539975,0.0008491937119294582,0.25841307335831937
New York,0.543302977845749,0.1423512204609315,0.005983012846067054,0.09532528108573467,0.00041505496886131386,0.10032390998491587
North Carolina,0.6083775483377548,0.1982004565624699,0.011729922006325534,0.03627214643024495,0.0007642568946075076,0.0887455069806113
North Dakota,0.8199814705084814,0.03753979572365448,0.04262410742083538,0.01935302447499774,0.0009051330206586255,0.06658063090658926
Ohio,0.7598805012478012,0.12156905183945475,0.002146541062990562,0.027620012077449168,0.0005061723574521026,0.06959958274230803
Oklahoma,0.6414356326731037,0.06582591707316002,0.07095387426798845,0.025510616441450185,0.0025472524859030624,0.15100504396037207
Oregon,0.7348444224530126,0.0193747219050031,0.011468105180940514,0.049440462918599534,0.0036904566574391595,0.12216144150402669
Pennsylvania,0.734955654404614,0.10537305894117871,0.002747051304822609,0.04176729108154135,0.00026363373689123677,0.07624864178544266
Rhode Island,0.6853857025212441,0.05552778546949226,0.006077453367232817,0.03753906292142105,0.0005241354013456705,0.1295054966789774
South Carolina,0.6318882622953692,0.23635443400243591,0.0046079172728635,0.020023797047216824,0.0005858914063967295,0.08032479921355486
South Dakota,0.7992773630347725,0.020277526336451204,0.07552864862994217,0.017061240292472225,0.00016438314683416444,0.07089888381680363
Tennessee,0.7195910207187576,0.14997212133789906,0.0035814741793780912,0.020193559544809933,0.00047995572619418216,0.0767666286188648
Texas,0.4723493281466382,0.12345287346315603,0.00857682558830093,0.06128817735776976,0.0008387441036641053,0.23981322196268934
Utah,0.7748315809993855,0.012335551900281225,0.010444646711837181,0.027326933653916686,0.008704443099166488,0.1084748800737981
